filename,mode
20150319-2 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019617 001,train
20150320-2 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019658 001,train
ER_000025_H1_150309_ED,train
20150319-3 Quick Quick 16-56-3-4-19-14-8-45 00019618 001,train
ER_000023_H1_150306_ED,train
ER_000055_H1_150311_ED,train
20150320-2 Quick Quick 16-56-3-4-19-14-8-45 00019655 001,train
ER_000010_H1_150305_ED,train
20150318-3 IOTest Test 16-56-3-4-19-14-8-45 00019588 001,train
ER_000052_H1_150311_ED,train
20150320-2 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019659 001,train
20150320-3 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019664 001,train
ER_000039_H1_150310_ED,train
20150319-1 IOTest Test 16-56-3-4-19-14-8-45 00019602 001,train
20150318-2 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019584 001,train
ER_000046_H1_150311_ED,train
20150312-1 IOTest Test 16-56-3-4-19-14-8-45 00019508 001,train
20150320-1 Quick Quick 16-56-3-4-19-14-8-45 00019650 001,train
20150318-1 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019572 001,train
20150210-1 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019652 001,train
20150318-1 Quick Quick 16-56-3-4-19-14-8-45 00019570 001,train
ER_000038_H1_150310_ED,train
ER_000034_H1_150310_ED,train
ER_000022_H1_150306_ED,train
ER_000048_H1_150311_ED,train
ER_000009_H1_150305_ED,train
ER_000021_H1_150306_ED,train
ER_000017_H1_150306_ED,train
ER_000059_H1_150311_ED,train
20150317-2 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019557 001,train
20150320-3 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019662 001,train
ER_000006_H1_150305_ED,train
ER_000041_H1_150310_ED,train
20150317-1 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019549 001,train
ER_000027_H1_150309_ED,train
20150319-3 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019621 001,train
ER_000037_H1_150310_ED,train
20150317-2 Quick Quick 16-56-3-4-19-14-8-45 00019553 001,test
20150319-2 IOTest Test 16-56-3-4-19-14-8-45 00019608 001,test
20150319-1 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019603 001,test
ER_000011_H1_150305_ED,test
20150320-1 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019653 001,test
ER_000026_H1_150309_ED,test
20150320-2 IOTest Test 16-56-3-4-19-14-8-45 00019656 001,test
ER_000058_H1_150311_ED,test
ER_000028_H1_150309_ED,test
20150312-1 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019509 001,test
20150318-2 IOTest Test 16-56-3-4-19-14-8-45 00019582 001,test
ER_000051_H1_150311_ED,test
20150319-2 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019616 001,test
ER_000031_H1_150310_ED,test
20150317-2 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019556 001,test
ER_000012_H1_150305_ED,test
20150312-2 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019502 001,test
ER_000036_H1_150310_ED,test
20150317-1 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019548 001,test
ER_000049_H1_150311_ED,test
20150319-3 IOTest Test 16-56-3-4-19-14-8-45 00019619 001,test
ER_000013_H1_150305_ED,test
20150312-1 Quick Quick 16-56-3-4-19-14-8-45 00019507 001,test
20150318-2 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019583 001,test
20150318-3 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019592 001,test
ER_000002_H1_150305_ED,test
20150317-1 IOTest Test 16-56-3-4-19-14-8-45 00019547 001,test
20150318-1 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019573 001,test
20150319-2 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019615 001,test
ER_000043_H1_150310_ED,test
ER_000024_H1_150306_ED,test
ER_000008_H1_150305_ED,test
20150320-3 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019663 001,test
20150317-1 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019550 001,test
ER_000047_H1_150311_ED,test
20150318-1 IOTest Test 16-56-3-4-19-14-8-45 00019571 001,test
20150319-1 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019605 001,test
ER_000016_H1_150306_ED,test
ER_000020_H1_150306_ED,test
20150318-2 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019585 001,test
ER_000029_H1_150309_ED,test
20150320-2 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019657 001,test
20150312-2 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019500 001,test
20150318-3 Quick Quick 16-56-3-4-19-14-8-45 00019587 001,test
20150320-3 Quick Quick 16-56-3-4-19-14-8-45 00019660 001,test
20150318-1 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019574 001,test
ER_000054_H1_150311_ED,test
20150318-2 Quick Quick 16-56-3-4-19-14-8-45 00019581 001,test
ER_000001_H1_150305_ED,test
ER_000057_H1_150311_ED,test
